,linear,hyper,para,expo,win_model,target_ratings,selected_intensities,extrapolated_ratings
fitted,"[ 0.73441353  1.91391046  3.0934074   4.27290433  5.45240127  6.6318982
  7.81139514  8.99089207 10.17038901 11.34988594 12.52938288 13.70887981
 14.88837675 16.06787368 17.24737062 18.42686755 19.60636449 20.78586142
 21.96535836 23.14485529 24.32435223 25.50384916 26.6833461  27.86284303
 29.04233996 30.2218369  31.40133383 32.58083077 33.7603277  34.93982464
 36.11932157 37.29881851 38.47831544 39.65781238 40.83730931 42.01680625
 43.19630318 44.37580012 45.55529705 46.73479399 47.91429092 49.09378786
 50.27328479 51.45278173 52.63227866 53.8117756  54.99127253 56.17076947
 57.3502664  58.52976333 59.70926027 60.8887572  62.06825414 63.24775107
 64.42724801 65.60674494 66.78624188 67.96573881 69.14523575 70.32473268
 71.50422962 72.68372655 73.86322349 75.04272042 76.22221736 77.40171429
 78.58121123 79.76070816 80.9402051  82.11970203 83.29919897 84.4786959 ]","[ 0.51332254  1.78371174  3.05048373  4.31365393  5.57323768  6.82925022
  8.08170674  9.3306223  10.57601191 11.81789047 13.05627282 14.29117368
 15.52260774 16.75058955 17.97513363 19.19625438 20.41396615 21.62828318
 22.83921965 24.04678966 25.25100723 26.45188631 27.64944074 28.84368433
 30.03463078 31.22229373 32.40668673 33.58782328 34.76571679 35.94038059
 37.11182795 38.28007206 39.44512605 40.60700296 41.76571577 42.92127739
 44.07370065 45.22299832 46.36918311 47.51226764 48.65226447 49.7891861
 50.92304495 52.05385338 53.18162369 54.3063681  55.42809878 56.54682782
 57.66256726 58.77532905 59.88512512 60.99196728 62.09586734 63.19683699
 64.29488789 65.39003164 66.48227976 67.57164373 68.65813494 69.74176476
 70.82254446 71.90048528 72.9755984  74.04789491 75.11738588 76.1840823
 77.24799511 78.30913519 79.36751337 80.42314042 81.47602704 82.5261839 ]","[ 17.52483457  17.1657719   16.85130509  16.58143416  16.35615909
  16.17547989  16.03939656  15.9479091   15.9010175   15.89872178
  15.94102192  16.02791793  16.15940981  16.33549756  16.55618118
  16.82146066  17.13133602  17.48580724  17.88487433  18.32853729
  18.81679612  19.34965082  19.92710138  20.54914781  21.21579012
  21.92702829  22.68286233  23.48329223  24.32831801  25.21793966
  26.15215717  27.13097055  28.1543798   29.22238492  30.33498591
  31.49218276  32.69397549  33.94036408  35.23134854  36.56692887
  37.94710507  39.37187714  40.84124507  42.35520888  43.91376855
  45.51692409  47.1646755   48.85702278  50.59396592  52.37550494
  54.20163982  56.07237057  57.98769719  59.94761968  61.95213804
  64.00125227  66.09496236  68.23326832  70.41617016  72.64366786
  74.91576142  77.23245086  79.59373617  81.99961734  84.45009438
  86.94516729  89.48483607  92.06910072  94.69796124  97.37141762
 100.08946988 102.852118  ]","[42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985
 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985
 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985
 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985
 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985
 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985
 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985
 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985
 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985
 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985
 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985
 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985 42.01680985]",para,"[30.0, 60.0]","[44.40000000000005, 46.300000000000075]","[30.33498590770705, 59.94761968347575]"
sse,2805.8957632974866,2990.4479641055154,1565.5693607459616,11999.035880759757,para,"[30.0, 60.0]","[44.40000000000005, 46.300000000000075]","[30.33498590770705, 59.94761968347575]"
params,[-482.85932974   11.79496935    1.        ],[ 8.91579992e+02 -6.24114093e+04  2.90412343e+01],[ 3.92216543e+03 -1.86656667e+02  2.22979343e+00],[ 42.01680985  -2.63057596 -10.99412293],para,"[30.0, 60.0]","[44.40000000000005, 46.300000000000075]","[30.33498590770705, 59.94761968347575]"
stim_val,"[43.500000000000036, 46.00000000000007]","[43.400000000000034, 46.00000000000007]","[44.40000000000005, 46.300000000000075]","[41.0, 41.0]",para,"[30.0, 60.0]","[44.40000000000005, 46.300000000000075]","[30.33498590770705, 59.94761968347575]"
fitted_val,"[30.221836899464847, 59.709260269530205]","[30.034630778327823, 59.88512511645183]","[30.33498590770705, 59.94761968347575]","[42.01680985427281, 42.01680985427281]",para,"[30.0, 60.0]","[44.40000000000005, 46.300000000000075]","[30.33498590770705, 59.94761968347575]"
