trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,loca_thermode,pic_sent,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,threshold,slope,lowerAsymptote,lapseRate,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,68.88034419999894,,0.012209199998324038,68.8646138999975,68.86535989999902,73.86430589999873,73.86431749999974,73.88047709999955,81.36396289999902,81.36396289999902,84.08069219999743,84.36405489999743,84.36405489999743,84.34799519999797,3.6,4.45,435,445,7.5,3.5,1.2,0.75,0,483,1,m,1.3830477000010433,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
1,0,1,0,84.36405489999743,,,,84.35306279999713,89.3479950999972,89.34800650000034,89.38083030000053,96.8643219000005,96.8643219000005,99.58105710000018,99.86441729999933,99.86441729999933,99.84830940000029,3.66,4.39,441,438,7.5,3.5,1.2,0.75,1,483,1,m,1.4548174000010476,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
2,0,2,0,99.86441729999933,,,,99.85443359999772,104.84835779999776,104.84836989999894,104.88119079999888,112.36469509999733,112.36469509999733,115.0814395999987,115.36476949999997,115.36476949999997,115.3486931999978,3.93,4.12,468,412,7.5,3.5,1.2,0.75,2,481,0,n,1.1464621000013722,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
3,0,3,0,115.36476949999997,,,,115.354681599998,120.34872639999958,120.34873819999848,120.38157399999909,127.8650693999989,127.8650693999989,130.5818032999996,130.8651248999995,130.8651248999995,130.849003299998,4.07,3.98,482,398,7.5,3.5,1.2,0.75,3,485,1,m,0.9338346000004094,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
4,0,4,0,130.8651248999995,,,,130.853189999998,135.8490974999986,135.84910920000038,135.88193839999803,143.36542439999903,143.36542439999903,146.08216869999887,146.36549849999938,146.36549849999938,146.34941419999814,3.76,4.29,451,429,7.5,3.5,1.2,0.75,0,484,1,m,1.3341989999971702,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
5,0,5,0,146.36549849999938,,,,146.35542580000038,151.3494498,151.34946130000026,151.3989505999998,158.86578799999916,158.86578799999916,161.5992058999982,161.86585579999883,161.86585579999883,161.84976379999716,3.7,4.35,445,434,7.5,3.5,1.2,0.75,1,484,1,m,1.2176904000007198,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
6,0,6,0,161.86585579999883,,,,161.85497720000058,166.85001209999973,166.85004189999745,166.89933879999808,174.36616819999836,174.36616819999836,177.0995581999996,177.3662258000004,177.3662258000004,177.35024729999714,3.31,4.74,406,474,7.5,3.5,1.2,0.75,2,483,0,n,1.0053695000024163,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
7,0,7,0,177.3662258000004,,,,177.35626279999997,182.3501780000006,182.35018959999798,182.38300919999892,189.86651100000017,189.86651100000017,192.58324319999883,192.8666009999979,192.8666009999979,192.8504764999998,3.92,4.13,467,413,7.5,3.5,1.2,0.75,3,485,0,n,1.1246695000008913,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
8,0,8,0,192.8666009999979,,,,192.85465939999995,197.85055199999988,197.85056319999785,197.90006229999926,205.36687719999827,205.36687719999827,208.10027249999985,208.36694889999853,208.36694889999853,208.35086659999797,3.7,4.35,445,434,7.5,3.5,1.2,0.75,0,488,1,m,1.1005249999980151,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
9,0,9,0,208.36694889999853,,,,208.35685359999843,213.3509075999973,213.35091959999772,213.38373929999943,220.86723849999908,220.86723849999908,223.5839694999995,223.86732660000052,223.86732660000052,223.85119399999894,3.58,4.47,433,447,7.5,3.5,1.2,0.75,1,488,1,m,0.9353816000002553,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
10,0,10,0,223.86732660000052,,,,223.85542639999767,228.8512570999992,228.85126899999887,228.8841212999978,236.3676235999992,236.3676235999992,239.0843524999982,239.36765379999997,239.36765379999997,239.3516103999973,3.47,4.58,422,458,7.5,3.5,1.2,0.75,2,487,1,m,1.2913179000024684,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
11,0,11,0,239.36765379999997,,,,239.35760399999708,244.351628299999,244.3516399,244.3845954999997,251.86798429999908,251.86798429999908,254.58471649999774,254.9514022000003,254.9514022000003,254.85207599999922,3.58,4.47,433,447,7.5,3.5,1.2,0.75,3,487,0,n,1.079325800001243,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
12,0,12,0,254.9514022000003,,,,254.94180939999933,259.93532149999737,259.9353332999999,259.9681872000001,267.4516640999973,267.4516640999973,270.1683993000006,270.45173819999764,270.45173819999764,270.4356262000001,3.92,4.13,467,413,7.5,3.5,1.2,0.75,0,489,1,m,1.0672780999993847,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
13,0,13,0,270.45173819999764,,,,270.44093470000007,275.4357113999977,275.43572309999945,275.4685542999978,282.9520085999975,282.9520085999975,285.6687830999981,285.95211349999954,285.95211349999954,285.93597619999855,3.67,4.38,442,438,7.5,3.5,1.2,0.75,1,489,1,m,1.1355027999998129,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
14,0,14,0,285.95211349999954,,,,285.9411809999983,290.9361030999971,290.93611489999967,290.9689020000005,298.45239579999907,298.45239579999907,301.16912579999916,301.45248739999806,301.45248739999806,301.4363434000006,4.13,3.92,488,392,7.5,3.5,1.2,0.75,2,488,1,m,1.0182400999983656,None,,,,,,,,,sub-002,COM3,47.3,2024-01-23_14h53.11.059,2024_RDpaindiscrimination_QUEST,2023.2.3,60.013238920883246,2024-01-23 14h53.30.529447 -0500,
