,times,neutral,z1,z2,z3,z4,z5
0,0.1215965747833252,37.8,37.7,37.7,37.6,37.6,37.6
1,0.23321962356567383,37.8,37.7,37.7,37.6,37.6,37.7
2,0.34584641456604004,37.8,37.8,37.8,37.8,37.8,37.8
3,0.4574732780456543,37.8,38.7,38.6,38.6,38.6,38.7
4,0.5700962543487549,37.8,40.0,39.9,39.9,39.9,40.0
5,0.6817233562469482,37.8,41.2,41.0,41.0,41.0,41.2
6,0.7933495044708252,37.7,42.2,42.1,42.1,42.1,42.3
7,0.9059696197509766,37.7,43.4,43.2,43.2,43.3,43.5
8,1.0175962448120117,37.7,44.5,44.4,44.3,44.4,44.6
9,1.130223035812378,37.6,45.2,45.0,45.0,45.0,45.3
10,1.2418787479400635,37.6,45.2,45.1,45.0,45.1,45.2
11,1.3535053730010986,37.6,45.1,44.9,44.9,45.0,45.1
12,1.4654734134674072,37.6,45.1,45.0,45.0,45.0,45.2
13,1.5780932903289795,37.6,45.1,45.0,45.0,45.0,45.2
14,1.6907203197479248,37.6,45.1,45.0,45.0,45.0,45.1
15,1.80234956741333,37.6,45.1,45.0,45.0,45.0,45.2
16,1.9139697551727295,37.6,45.1,45.1,45.0,45.1,45.2
17,2.026113748550415,37.6,45.1,45.1,45.0,45.1,45.2
18,2.138737201690674,37.6,45.1,45.1,45.0,45.1,45.2
19,2.25069522857666,37.6,45.2,45.1,45.0,45.1,45.2
20,2.3623225688934326,37.6,45.1,45.1,45.0,45.1,45.2
21,2.474945306777954,37.6,45.2,45.1,45.0,45.1,45.2
22,2.5865721702575684,37.6,45.2,45.1,45.0,45.1,45.2
23,2.69919490814209,37.7,45.2,45.1,45.1,45.1,45.2
24,2.810821771621704,37.7,45.2,45.1,45.1,45.1,45.2
25,2.9224488735198975,37.7,45.2,45.1,45.1,45.1,45.2
26,3.035071849822998,37.7,45.2,45.1,45.1,45.1,45.2
27,3.146698474884033,37.7,45.2,45.1,45.1,45.1,45.2
28,3.259321689605713,37.7,45.2,45.1,45.1,45.1,45.2
29,3.370948553085327,37.7,45.2,45.1,45.1,45.1,45.2
30,3.482574939727783,37.7,45.2,45.1,45.1,45.1,45.2
31,3.595198631286621,37.7,45.2,45.1,45.1,45.1,45.2
32,3.7068252563476562,37.7,45.2,45.1,45.1,45.1,45.2
33,3.819448471069336,37.7,45.2,45.1,45.1,45.1,45.2
34,3.931074857711792,37.7,45.2,45.1,45.1,45.1,45.2
35,4.04369854927063,37.7,45.2,45.1,45.1,45.1,45.2
36,4.155324697494507,37.7,45.2,45.1,45.1,45.1,45.2
37,4.2674643993377686,37.7,45.2,45.1,45.1,45.1,45.2
38,4.379090785980225,37.7,45.2,45.1,45.1,45.1,45.2
39,4.491714239120483,37.7,45.2,45.1,45.1,45.1,45.2
40,4.6033408641815186,37.7,45.2,45.1,45.1,45.1,45.2
41,4.7159647941589355,37.7,45.2,45.1,45.1,45.1,45.2
42,4.827590703964233,37.7,45.2,45.1,45.1,45.2,45.2
43,4.940214157104492,37.7,45.2,45.1,45.1,45.2,45.2
44,5.0518412590026855,37.7,45.2,45.1,45.1,45.2,45.2
45,5.1634674072265625,37.7,45.2,45.1,45.1,45.2,45.2
46,5.276090860366821,37.7,45.2,45.1,45.1,45.2,45.2
47,5.3877177238464355,37.7,45.3,45.2,45.2,45.2,45.3
48,5.573097467422485,37.7,45.7,45.6,45.6,45.7,45.8
49,5.69170069694519,37.7,46.1,46.0,46.0,46.0,46.1
50,5.80432391166687,37.7,45.9,45.9,45.9,45.9,45.9
51,5.915492057800293,37.7,46.0,45.9,45.9,46.0,46.0
52,6.028115510940552,37.7,46.1,46.0,46.0,46.0,46.1
53,6.141048192977905,37.7,46.0,46.0,45.9,46.0,46.0
54,6.2526750564575195,37.7,46.0,45.9,45.9,46.0,46.0
55,6.364625453948975,37.7,46.1,46.0,46.0,46.0,46.0
56,6.47625207901001,37.7,46.0,45.9,45.9,45.9,45.9
57,6.5888752937316895,37.7,45.6,45.6,45.6,45.6,45.5
58,6.700501918792725,37.7,45.1,45.1,45.1,45.1,45.1
59,6.812128305435181,37.8,45.2,45.1,45.1,45.1,45.1
