trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,loop_eval_discri.thisRepN,loop_eval_discri.thisTrialN,loop_eval_discri.thisN,loop_eval_discri.thisIndex,loop_eval.thisRepN,loop_eval.thisTrialN,loop_eval.thisN,loop_eval.thisIndex,loop_discri.thisRepN,loop_discri.thisTrialN,loop_discri.thisN,loop_discri.thisIndex,thisRow.t,notes,Set_up.started,Set_up.stopped,electrode_check.started,electrode_check.stopped,instructions_eval.started,instructions_eval.stopped,pause_5_test.started,pause_5_test.stopped,Phase_Test.started,thermode_locali.started,Phase_Test.stopped,loca_thermode,condition,temp_trial_sent,eval_douleur.started,eval_douleur.stopped,ratingScale.response,ratingScale.rt,thermode_locali.stopped,Fin_test.started,text.started,Fin_test.stopped,pause_5_EVA.started,pause_5_EVA.stopped,tâche_EVA.started,thermode_locali_EVA.started,tâche_EVA.stopped,thermode_locali_EVA.stopped,instructions_discrim.started,instructions_discrim.stopped,pause_5_pic.started,pause_5_pic.stopped,tâche_PIC.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,tâche_PIC.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,dur_pic,dur_rise,pic_presence,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,break_entre_bloc.started,break_entre_bloc.stopped,merci.started,merci.stopped,participant,temp_flat,temp_active,temp_pic_set,com_thermode,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,341.64992660004646,,,,,,,,341.63694779993966,346.6334836999886,346.6334910998121,346.64995400002226,358.6339456997812,2,inactive,47.1,358.63409260008484,361.30229529971257,80.0,2.649,358.66684569977224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,361.3167194998823,,,,,,,,361.3029920998961,366.30032090004534,366.30032779974863,366.3168195998296,378.30092029972,3,active,45.5,378.3010567999445,381.2032376998104,15.499999999999996,2.884,378.3337042997591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,381.2169876000844,,,,,,,,381.2040562997572,386.20057490002364,386.2005813997239,386.2170758000575,398.2010304997675,0,active,45.5,398.2011738996953,402.0533968000673,24.5000000000002,3.833,398.2338887001388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,402.0674060001038,,,,,,,,402.05415780004114,407.05093839997426,407.0509454999119,407.0673519996926,419.05136349983513,1,inactive,47.1,419.0515084997751,423.66921669989824,89.50000000000003,4.598,419.0842404998839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,423.68428179994226,,,,,,,,423.66994839999825,428.6678170999512,428.6678237998858,428.6843015998602,440.6682567000389,2,active,45.5,440.6684015998617,444.9694898999296,19.500000000000213,4.282,440.70108449971303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,444.9845108999871,,,,,,,,444.9702445999719,449.9680968998,449.968104199972,449.9845862998627,461.9685526001267,3,inactive,47.1,461.9686928000301,467.8213788997382,94.00000000000003,5.834,462.0013768998906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,492.6184704997577,,,,,,491.6190574998036,492.6020228997804,,,,,,0,active,47.1,509.60207960009575,514.0547099998221,46.499999999999915,4.434,,467.8219637000002,467.83481189981103,491.6187370000407,492.60231099976227,497.6019808999263,497.6019879998639,497.618500799872,509.60207169968635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,514.0687915999442,,,,,,,,,,,,,1,inactive,47.1,531.0527853998356,535.088372099679,84.49999999999991,4.017,,,,,514.0554756997153,519.0523377000354,519.0523445997387,519.0688374000601,531.0527781997807,531.0856618997641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,538.3523824000731,,,,,,,,,,,,,2,active,,,,,,,,,,,,,,,,535.0889364001341,538.3360111000948,538.3363143000752,543.3359838998877,543.3359908000566,543.3523741997778,551.3359070997685,551.3359070997685,554.302623800002,554.3359147999436,554.3359147999436,554.3194128000177,3.54,5.26,354,526,8,1.2,0.75,pic-present,1,m,1.6104406001977623,None,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,554.3359147999436,,,,,,,,,,,,,3,inactive,,,,,,,,,,,,,,,,,,554.3200352997519,559.3195063997991,559.319513999857,559.3359854998998,567.3194610998034,567.3194610998034,570.2861556001008,570.3194995997474,570.3194995997474,570.3029561997391,3.5,5.3,350,530,8,1.2,0.75,pic-absent,0,n,0.6749264001846313,None,,,,,sub-034,47.1,45.5,47.7,COM3,2024-04-29_10h12.21.577,2024_RDpaindiscrimination_maintask,2023.2.3,59.99340087121026,2024-04-29 10h12.56.020706 -0400,
