,age,n_male,n_female
count,33.0,10,23
mean,28.333333333333332,10,23
std,10.466215489214173,10,23
min,19.0,10,23
25%,21.0,10,23
50%,24.0,10,23
75%,31.0,10,23
max,58.0,10,23
