series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,instructions2.started,instructions2.stopped,instructions_start_ramp.started,instructions_start_ramp.stopped,confirm_continue.started,key_resp_8.started,confirm_continue.stopped,intensity,wait1_dur,wait.started,wait.stopped,therm_trig.started,therm_trig.stopped,rating_scale.started,rating_scale.stopped,rating,ratingScale.response,ratingScale.rt,press_when_ready.started,text_2.started,key_resp_3.started,press_when_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,bloc_terminé.started,bloc_terminé.stopped,participant,com_thermode,nramps,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,336.4450042999815,,0.008208999992348254,101.77613879996352,101.77614730002824,332.56188749999274,332.56221859995276,336.4286805000156,336.4289885000326,336.4450042999815,337.5952840000391,41,2.5,337.5954709999496,340.0951956999488,340.0952045000158,352.09560180001426,352.0956088999519,364.06884329998866,0.0,0.0,11.95,364.0694048999576,364.07868369994685,364.07868369994685,367.2456153000239,y,3.153285800013691,None,,,sub-014,COM3,3,2024-02-05_12h10.01.707,2024_RDpaindiscrimination_calibration,2023.2.3,60.003264188456306,2024-02-05 12h10.12.479679 -0500,
0,0,0,0,1,0,1,0,367.2620141999796,,,,,,,,367.24593319999985,367.2620141999796,367.9289823999861,42,2.0,367.92910319997463,369.92887810000684,369.9288866999559,381.9292943000328,381.92930159997195,389.73424060002435,0.0,0.0,7.787,389.73467829998117,389.7456701999763,389.7456701999763,392.49590009998064,y,2.7341295999940485,None,,,sub-014,COM3,3,2024-02-05_12h10.01.707,2024_RDpaindiscrimination_calibration,2023.2.3,60.003264188456306,2024-02-05 12h10.12.479679 -0500,
0,0,0,0,2,0,2,0,392.51229790004436,,,,,,,,392.49611459998414,392.51229790004436,392.9959878999507,43,2.5,392.9961062000366,395.495838599978,395.4958469000412,407.4962560000131,407.4962636999553,416.08385900000576,0.0,0.0,8.57,416.0841681000311,416.0959359999979,416.0959359999979,418.5795958000235,y,2.4685455000726506,None,,,sub-014,COM3,3,2024-02-05_12h10.01.707,2024_RDpaindiscrimination_calibration,2023.2.3,60.003264188456306,2024-02-05 12h10.12.479679 -0500,
0,0,0,0,3,0,3,0,418.59588689997327,,,,,,,,418.57980820001103,418.59588689997327,419.1297036999604,44,2.3,419.12983029999305,421.4294563999865,421.42946479993407,433.4298641999485,433.4298715000041,441.70588389993645,19.000000000000078,19.000000000000078,8.214,441.70632969995495,441.71285989996977,441.71285989996977,444.1131521000061,y,2.394882700056769,None,,,sub-014,COM3,3,2024-02-05_12h10.01.707,2024_RDpaindiscrimination_calibration,2023.2.3,60.003264188456306,2024-02-05 12h10.12.479679 -0500,
0,0,0,0,4,0,4,0,444.12955349998083,,,,,,,,444.11338280001655,444.12955349998083,445.2131955999648,45,2.3,445.21332019998226,447.51308129995596,447.51309429993853,459.51310850004666,459.5131150999805,465.96723810001276,17.50000000000021,17.50000000000021,6.436,465.9676830000244,465.9797996999696,465.9797996999696,467.8802157000173,y,1.9000872999895364,None,,,sub-014,COM3,3,2024-02-05_12h10.01.707,2024_RDpaindiscrimination_calibration,2023.2.3,60.003264188456306,2024-02-05 12h10.12.479679 -0500,
0,0,0,0,5,0,5,0,467.89652509998996,,,,,,,,467.88043459993787,467.89652509998996,468.5635427000234,46,2.2,468.56366280000657,470.7633582999697,470.76336590002757,482.7633845999371,482.76339029998053,485.96827920002397,34.499999999999986,34.499999999999986,3.187,485.96874749998096,485.98000840004534,485.98000840004534,488.3303169000428,y,2.33619419997558,None,,,sub-014,COM3,3,2024-02-05_12h10.01.707,2024_RDpaindiscrimination_calibration,2023.2.3,60.003264188456306,2024-02-05 12h10.12.479679 -0500,
0,0,0,0,6,0,6,0,488.34671379998326,,,,,,,,488.3305207999656,488.34671379998326,488.91369519999716,47,2.4,488.91381319996435,491.31357410002965,491.31358209997416,503.3136132999789,503.31361910002306,507.88495390000753,40.0,40.0,4.553,507.88568910001777,507.89692590001505,507.89692590001505,510.3806671999628,y,2.4711294999578968,None,,,sub-014,COM3,3,2024-02-05_12h10.01.707,2024_RDpaindiscrimination_calibration,2023.2.3,60.003264188456306,2024-02-05 12h10.12.479679 -0500,
0,0,0,0,7,0,7,0,510.39701539999805,,,,,,,,510.3808716000058,510.39701539999805,510.9472495999653,48,2.5,510.94736999995075,513.4471892999718,513.4471974000335,525.4472137000412,525.4472196999704,530.1194685000228,42.99999999999996,42.99999999999996,4.654,530.1199318999425,530.1305617999751,530.1305617999751,532.3641471000155,y,2.2212516999570653,None,,,sub-014,COM3,3,2024-02-05_12h10.01.707,2024_RDpaindiscrimination_calibration,2023.2.3,60.003264188456306,2024-02-05 12h10.12.479679 -0500,
0,0,0,0,8,0,8,0,532.3805577999447,,,,,,,,532.3643473000266,532.3805577999447,533.130868999986,49,2.5,533.1309955000179,535.6307875999482,535.6307960000122,547.6311788000166,547.6311868999619,553.6196952000028,58.49999999999997,58.49999999999997,5.971,553.6201500999741,553.6308279000223,553.6308279000223,556.1645143999485,y,2.5330588000360876,None,,,sub-014,COM3,3,2024-02-05_12h10.01.707,2024_RDpaindiscrimination_calibration,2023.2.3,60.003264188456306,2024-02-05 12h10.12.479679 -0500,
0,0,0,0,9,0,9,0,556.1809013000457,,,,,,,,556.1647166999755,556.1809013000457,557.0145114000188,50,2.4,557.0146360000363,559.4143942999654,559.4144029000308,571.4144988999469,571.4145043999888,579.0519208000042,67.99999999999983,67.99999999999983,7.619,579.052379700006,579.0644172000466,579.0644172000466,581.5480377000058,y,2.4716005999362096,None,,,sub-014,COM3,3,2024-02-05_12h10.01.707,2024_RDpaindiscrimination_calibration,2023.2.3,60.003264188456306,2024-02-05 12h10.12.479679 -0500,
