series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,instructions2.started,instructions2.stopped,instructions_start_ramp.started,instructions_start_ramp.stopped,confirm_continue.started,key_resp_8.started,confirm_continue.stopped,intensity,wait1_dur,wait.started,wait.stopped,therm_trig.started,therm_trig.stopped,rating_scale.started,rating_scale.stopped,rating,ratingScale.response,ratingScale.rt,press_when_ready.started,text_2.started,key_resp_3.started,press_when_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,com_thermode,nramps,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,6209.089244400035,,0.003729299991391599,6200.273022999987,6200.273032900004,6205.4729235999985,6205.473347300023,6209.056280500023,6209.056569100008,6209.089244400035,6211.606324199995,41,2.5,6211.606524200004,6214.106241400004,6214.106250400015,6226.106593500008,6226.1066001,6232.696605400008,0.0,0.0,6.568,6232.697173800028,6232.706212099991,6232.706212099991,6236.456516199978,y,3.740450699988287,None,sub-011,COM3,3,2024-02-02_08h51.08.352,2024_RDpaindiscrimination_calibration,2023.2.3,60.04552651535435,2024-02-02 08h51.20.786525 -0500,
0,0,0,0,1,0,1,0,6236.472917300009,,,,,,,,6236.456822999986,6236.472917300009,6238.189903500024,42,2.2,6238.19002520002,6240.389797599986,6240.389806299994,6252.389881799987,6252.389887300029,6256.311381399981,0.0,0.0,3.904,6256.311853900028,6256.323229899979,6256.323229899979,6257.890193600033,y,1.551237600040622,None,sub-011,COM3,3,2024-02-02_08h51.08.352,2024_RDpaindiscrimination_calibration,2023.2.3,60.04552651535435,2024-02-02 08h51.20.786525 -0500,
0,0,0,0,2,0,2,0,6257.906590700033,,,,,,,,6257.890381600009,6257.906590700033,6258.9069227,43,2.5,6258.907045,6261.406781800033,6261.406790399982,6273.406818700023,6273.406824100006,6277.345660199993,0.0,0.0,3.92,6277.34613239998,6277.356843099988,6277.356843099988,6279.207256700029,y,1.8457410000264645,None,sub-011,COM3,3,2024-02-02_08h51.08.352,2024_RDpaindiscrimination_calibration,2023.2.3,60.04552651535435,2024-02-02 08h51.20.786525 -0500,
0,0,0,0,3,0,3,0,6279.223408100021,,,,,,,,6279.207468200009,6279.223408100021,6281.107171499985,44,2.5,6281.107287399995,6283.607011499989,6283.607019599993,6295.607409399992,6295.607416199986,6298.9780395000125,0.0,0.0,3.353,6298.978452500014,6298.990401500021,6298.990401500021,6300.357383600029,y,1.3605420000385493,None,sub-011,COM3,3,2024-02-02_08h51.08.352,2024_RDpaindiscrimination_calibration,2023.2.3,60.04552651535435,2024-02-02 08h51.20.786525 -0500,
,,,,,,,,6300.373702300014,,,,,,,,6300.3576092,6300.373702300014,6301.490715400025,45,2.0,6301.4908382000285,6303.490739999979,6303.490752600017,6315.491037000029,6315.491043600021,,,,,,,,,,,,,,,,,,,,
