trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,mean_6_reversals,threshold,pic_a_utiliser,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,6.126063100000465,,0.009366799999042996,6.110398499999064,6.111110100000587,11.110112099999242,11.110124400000132,11.14296689999901,18.60969859999932,18.60969859999932,21.343114299999797,21.609786600000007,21.609786600000007,21.593733100000463,3.44,5.36,344,536,7.5,3.5,1.2,0.75,445,0,453,0.8,1,m,0.4309240000002319,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
1,0,1,0,21.609786600000007,,,,21.596985799998947,26.593816999999035,26.593828299999586,26.60989100000006,34.11005010000008,34.11005010000008,36.810135399999126,37.11014869999963,37.11014869999963,37.09411419999924,3.42,5.38,342,538,7.5,3.5,1.2,0.75,445,1,449,0.4,0,n,0.503383399998711,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
2,0,2,0,37.11014869999963,,,,37.09667140000056,42.09428130000015,42.09429330000057,42.11034599999948,49.610422599998856,49.610422599998856,52.3105130999993,52.61052149999887,52.61052149999887,52.59449169999971,4.13,4.67,413,467,7.5,3.5,1.2,0.75,445,2,452,0.7,0,n,0.566211999999723,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
3,0,3,0,52.61052149999887,,,,52.597008700000515,57.59457660000044,57.594588300000396,57.61064669999905,65.11083390000022,65.11083390000022,67.81090849999964,68.12758790000044,68.12758790000044,68.09486529999958,3.3,5.5,330,550,7.5,3.5,1.2,0.75,445,3,455,1.0,1,m,0.3545574999989185,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
4,0,4,0,68.12758790000044,,,,68.10267889999886,73.1110993000002,73.11111039999923,73.12770189999901,80.61119709999912,80.61119709999912,83.32794929999909,83.61147340000025,83.61147340000025,83.59531919999972,3.3,5.5,330,550,7.5,3.5,1.2,0.75,445,0,455,1.0,1,m,0.3740642000011576,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
5,0,5,0,83.61147340000025,,,,83.59779369999887,88.59522019999895,88.59523219999937,88.61150160000034,96.11157289999937,96.11157289999937,98.81163819999892,99.11166310000044,99.11166310000044,99.09553039999992,3.49,5.31,349,531,7.5,3.5,1.2,0.75,445,1,453,0.8,0,n,0.8175616000007722,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
6,0,6,0,99.11166310000044,,,,99.09800480000013,104.09563349999917,104.09564510000018,104.11174790000041,111.61196709999967,111.61196709999967,114.31213480000042,114.61203639999985,114.61203639999985,114.59601519999887,3.99,4.81,399,480,7.5,3.5,1.2,0.75,445,2,454,0.9,1,m,0.465422999999646,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
7,0,7,0,114.61203639999985,,,,114.59852349999892,119.59600759999921,119.5960197000004,119.61216369999966,127.11234049999985,127.11234049999985,129.81240409999918,130.1123979999993,130.1123979999993,130.09635220000018,3.78,5.02,378,501,7.5,3.5,1.2,0.75,445,3,454,0.9,1,m,0.4400414000010642,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
8,0,8,0,130.1123979999993,,,,130.09883420000006,135.0963541000001,135.0963654999996,135.11251950000042,142.61271589999888,142.61271589999888,145.31278810000003,145.6127935000004,145.6127935000004,145.59665069999937,3.67,5.13,367,513,7.5,3.5,1.2,0.75,445,0,453,0.8,1,m,0.36416210000061255,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
9,0,9,0,145.6127935000004,,,,145.5991200999997,150.59680879999905,150.59682070000053,150.61289539999962,158.11307540000053,158.11307540000053,160.8131615000002,161.1131707000004,161.1131707000004,161.09710769999947,3.28,5.52,328,552,7.5,3.5,1.2,0.75,445,1,453,0.8,0,n,0.5713383999991493,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
10,0,10,0,161.1131707000004,,,,161.09958890000053,166.09719489999952,166.09720670000024,166.11327700000038,173.613460999999,173.613460999999,176.31354060000012,176.61354829999982,176.61354829999982,176.59748899999977,3.69,5.11,369,511,7.5,3.5,1.2,0.75,445,2,454,0.9,0,n,0.7829940000010538,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
11,0,11,0,176.61354829999982,,,,176.5999711000004,181.59752689999914,181.59753830000045,181.6136723999989,189.11383860000024,189.11383860000024,191.81389540000055,192.11392680000063,192.11392680000063,192.09786820000045,4.07,4.73,407,473,7.5,3.5,1.2,0.75,445,3,455,1.0,1,m,0.3355193000006693,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
12,0,12,0,192.11392680000063,,,,192.10034189999897,197.09796710000046,197.09797889999936,197.11405240000022,204.6142280999993,204.6142280999993,207.31427799999983,207.61428829999932,207.61428829999932,207.59828819999893,3.53,5.27,353,527,7.5,3.5,1.2,0.75,445,0,455,1.0,1,m,0.3541039000010642,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
13,0,13,0,207.61428829999932,,,,207.60076320000007,212.59834709999996,212.59835849999945,212.61442609999904,220.11461319999944,220.11461319999944,222.8146813000003,223.11468369999966,223.11468369999966,223.09862690000045,4.02,4.78,401,478,7.5,3.5,1.2,0.75,445,1,454,0.9,1,m,0.5144161000007443,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
14,0,14,0,223.11468369999966,,,,223.10111479999978,228.0986202999993,228.09863229999974,228.114806399999,235.61498670000037,235.61498670000037,238.31505350000043,238.61504349999996,238.61504349999996,238.59905219999928,3.83,4.97,383,497,7.5,3.5,1.2,0.75,445,2,454,0.9,0,n,0.6774239999995189,None,,,,,,,,sub-008,COM3,44.5,2024-01-29_11h00.38.701,2024_RDpaindiscrimination_QUEST,2023.2.3,60.00283213406796,2024-01-29 11h00.51.929771 -0500,
