,linear,hyper,para
fitted,"[-3.98703134 -2.77755611 -1.56808087 -0.35860564  0.8508696   2.06034483
  3.26982007  4.47929531  5.68877054  6.89824578  8.10772101  9.31719625
 10.52667149 11.73614672 12.94562196 14.15509719 15.36457243 16.57404767
 17.7835229  18.99299814 20.20247337 21.41194861 22.62142384 23.83089908
 25.04037432 26.24984955 27.45932479 28.66880002 29.87827526 31.0877505
 32.29722573 33.50670097 34.7161762  35.92565144 37.13512667 38.34460191
 39.55407715 40.76355238 41.97302762 43.18250285 44.39197809 45.60145333
 46.81092856 48.0204038  49.22987903 50.43935427 51.6488295  52.85830474
 54.06777998 55.27725521 56.48673045 57.69620568 58.90568092 60.11515616
 61.32463139 62.53410663 63.74358186 64.9530571  66.16253233 67.37200757
 68.58148281 69.79095804 71.00043328 72.20990851 73.41938375 74.62885899
 75.83833422 77.04780946 78.25728469 79.46675993 80.67623517 81.8857104
 83.09518564 84.30466087 85.51413611 86.72361134 87.93308658 89.14256182
 90.35203705 91.56151229 92.77098752 93.98046276]","[-4.95939179 -3.64625992 -2.33624801 -1.02934494  0.27446033  1.57517882
  2.87282146  4.16739916  5.45892276  6.74740305  8.03285079  9.31527666
 10.59469131 11.87110533 13.14452926 14.4149736  15.6824488  16.94696524
 18.20853329 19.46716324 20.72286533 21.97564978 23.22552675 24.47250633
 25.71659861 26.95781358 28.19616122 29.43165147 30.66429418 31.89409921
 33.12107633 34.34523529 35.56658578 36.78513747 38.00089995 39.2138828
 40.42409554 41.63154765 42.83624855 44.03820765 45.23743429 46.43393778
 47.62772738 48.81881233 50.00720179 51.19290491 52.37593078 53.55628848
 54.733987   55.90903533 57.0814424  58.2512171  59.41836831 60.58290482
 61.74483541 62.90416883 64.06091377 65.2150789  66.36667282 67.51570412
 68.66218136 69.80611303 70.9475076  72.0863735  73.22271914 74.35655286
 75.48788298 76.61671779 77.74306553 78.86693442 79.98833263 81.10726829
 82.22374951 83.33778436 84.44938087 85.55854703 86.66529081 87.76962013
 88.87154288 89.97106693 91.0682001  92.16295018]","[  6.51633736   6.87922781   7.26355087   7.66930654   8.09649482
   8.54511572   9.01516923   9.50665535  10.01957408  10.55392543
  11.10970938  11.68692595  12.28557513  12.90565693  13.54717133
  14.21011835  14.89449798  15.60031022  16.32755507  17.07623254
  17.84634262  18.63788531  19.45086061  20.28526853  21.14110905
  22.01838219  22.91708794  23.83722631  24.77879728  25.74180087
  26.72623707  27.73210588  28.75940731  29.80814134  30.87830799
  31.96990725  33.08293913  34.21740361  35.37330071  36.55063042
  37.74939274  38.96958767  40.21121522  41.47427538  42.75876815
  44.06469353  45.39205152  46.74084213  48.11106535  49.50272118
  50.91580962  52.35033068  53.80628434  55.28367062  56.78248951
  58.30274102  59.84442513  61.40754186  62.9920912   64.59807315
  66.22548772  67.8743349   69.54461468  71.23632709  72.9494721
  74.68404972  76.44005996  78.21750281  80.01637827  81.83668635
  83.67842703  85.54160033  87.42620624  89.33224476  91.2597159
  93.20861965  95.178956    97.17072498  99.18392656 101.21856075
 103.27462756 105.35212698]"
sse,2264.0375666108325,2394.9821730345693,1778.0431189545614
params,[-499.87187804   12.09475236    1.        ],[ 1.09907492e+03 -9.27128530e+04  4.29764237e+01],[ 1.66353599e+03 -8.43519684e+01  1.07163061e+00]
stim_val,"[43.80000000000004, 46.300000000000075]","[43.70000000000004, 46.200000000000074]","[44.30000000000005, 46.60000000000008]"
fitted_val,"[29.87827525948302, 60.115156155712214]","[29.43165146654883, 59.418368306677394]","[29.808141343288753, 59.84442513410659]"
