,times,neutral,z1,z2,z3,z4,z5
0,0.11163020133972168,37.7,37.6,37.6,37.6,37.6,37.6
1,0.2237684726715088,37.7,37.6,37.6,37.6,37.6,37.6
2,0.3363914489746094,37.7,37.6,37.6,37.6,37.6,37.6
3,0.4483630657196045,37.7,38.0,38.0,38.0,38.0,38.1
4,0.5599896907806396,37.7,38.9,38.8,38.8,38.9,38.9
5,0.6726126670837402,37.7,39.7,39.6,39.6,39.7,39.7
6,0.7842395305633545,37.7,40.4,40.3,40.4,40.4,40.4
7,0.8968625068664551,37.6,41.2,41.1,41.1,41.2,41.2
8,1.0084891319274902,37.6,41.9,41.9,41.9,41.9,42.0
9,1.1211121082305908,37.6,42.4,42.4,42.4,42.4,42.5
10,1.2327356338500977,37.6,42.5,42.4,42.4,42.5,42.5
11,1.3443653583526611,37.6,42.4,42.4,42.4,42.4,42.4
12,1.4569885730743408,37.6,42.4,42.4,42.4,42.4,42.5
13,1.568615436553955,37.5,42.5,42.4,42.4,42.5,42.5
14,1.6812381744384766,37.5,42.4,42.4,42.4,42.4,42.5
15,1.7928645610809326,37.5,42.5,42.4,42.4,42.5,42.5
16,1.9054877758026123,37.5,42.5,42.4,42.5,42.5,42.5
17,2.017110824584961,37.5,42.5,42.5,42.5,42.5,42.5
18,2.1287405490875244,37.5,42.5,42.5,42.5,42.5,42.5
19,2.241364002227783,37.6,42.5,42.5,42.5,42.5,42.5
20,2.3529903888702393,37.6,42.5,42.5,42.5,42.5,42.5
21,2.4651308059692383,37.6,42.5,42.5,42.5,42.5,42.5
22,2.577754020690918,37.6,42.5,42.5,42.5,42.5,42.5
23,2.689380645751953,37.6,42.5,42.5,42.5,42.5,42.5
24,2.8010036945343018,37.6,42.5,42.5,42.5,42.5,42.5
25,2.9136300086975098,37.6,42.5,42.5,42.5,42.5,42.5
26,3.025256872177124,37.6,42.5,42.5,42.5,42.5,42.5
27,3.1378800868988037,37.6,42.5,42.5,42.5,42.5,42.5
28,3.2495031356811523,37.6,42.5,42.5,42.5,42.5,42.5
29,3.3621292114257812,37.6,42.5,42.5,42.5,42.5,42.5
30,3.4732978343963623,37.6,42.5,42.5,42.5,42.5,42.5
31,3.585920810699463,37.6,42.5,42.5,42.5,42.5,42.5
32,3.697916030883789,37.6,42.5,42.5,42.5,42.5,42.5
33,3.809542179107666,37.6,42.5,42.5,42.5,42.5,42.5
34,3.922165632247925,37.7,42.5,42.5,42.5,42.5,42.5
35,4.0337889194488525,37.7,42.5,42.5,42.5,42.5,42.5
36,4.1464152336120605,37.7,42.5,42.5,42.5,42.5,42.5
37,4.258041858673096,37.7,42.5,42.5,42.5,42.5,42.5
38,4.369668483734131,37.7,42.5,42.5,42.5,42.5,42.5
39,4.4822914600372314,37.7,42.5,42.5,42.5,42.5,42.5
40,4.593918323516846,37.7,42.5,42.5,42.5,42.5,42.5
41,4.706541061401367,37.7,42.5,42.5,42.5,42.5,42.5
42,4.818167686462402,37.7,42.5,42.5,42.5,42.5,42.5
43,4.930790662765503,37.7,42.5,42.5,42.5,42.5,42.5
44,5.042417287826538,37.7,42.5,42.5,42.5,42.5,42.5
45,5.154043674468994,37.7,42.5,42.5,42.5,42.5,42.5
46,5.266171932220459,37.7,42.5,42.5,42.5,42.5,42.5
47,5.378164291381836,37.7,42.5,42.5,42.5,42.5,42.5
48,5.490787744522095,37.7,42.5,42.5,42.5,42.5,42.5
49,5.602414131164551,37.7,42.5,42.5,42.5,42.5,42.5
50,5.715037107467651,37.7,42.5,42.5,42.5,42.5,42.5
51,5.826663494110107,37.7,42.5,42.5,42.5,42.5,42.5
52,5.939286708831787,37.7,42.5,42.5,42.5,42.5,42.5
53,6.050909996032715,37.7,42.5,42.5,42.5,42.5,42.5
54,6.1625401973724365,37.7,42.5,42.5,42.5,42.5,42.5
55,6.275162935256958,37.7,42.6,42.5,42.5,42.5,42.6
56,6.386789560317993,37.7,42.6,42.5,42.5,42.5,42.6
57,6.499409198760986,37.7,42.6,42.5,42.5,42.5,42.6
58,6.61103892326355,37.7,42.6,42.5,42.5,42.5,42.6
59,6.7236621379852295,37.7,42.6,42.5,42.5,42.5,42.6
60,6.835289001464844,37.7,42.6,42.5,42.5,42.5,42.6
61,6.946915149688721,37.7,42.6,42.5,42.6,42.5,42.6
62,7.0595383644104,37.7,42.6,42.5,42.6,42.5,42.6
63,7.1711647510528564,37.7,42.6,42.5,42.6,42.5,42.6
64,7.283785343170166,37.7,42.6,42.5,42.6,42.5,42.6
65,7.394929885864258,37.7,42.6,42.5,42.6,42.6,42.6
66,7.507552862167358,37.7,42.6,42.5,42.6,42.6,42.6
67,7.620176076889038,37.7,42.6,42.5,42.6,42.6,42.6
68,7.731799125671387,37.7,42.6,42.6,42.6,42.6,42.6
69,7.843429327011108,37.7,42.6,42.6,42.6,42.6,42.6
70,7.955592155456543,37.7,42.6,42.6,42.6,42.6,42.6
71,8.068212032318115,37.7,42.6,42.6,42.6,42.6,42.6
72,8.179197788238525,37.7,42.6,42.6,42.6,42.6,42.6
73,8.291821241378784,37.7,42.6,42.6,42.6,42.6,42.6
74,8.404444217681885,37.7,42.6,42.6,42.6,42.6,42.6
75,8.516067504882812,37.7,42.6,42.6,42.6,42.6,42.6
76,8.62869381904602,37.7,42.6,42.6,42.6,42.6,42.6
77,8.740320444107056,37.7,42.6,42.6,42.6,42.6,42.6
78,8.851943492889404,37.7,42.6,42.6,42.6,42.6,42.6
