trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,loca_thermode,pic_sent,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,threshold,slope,lowerAsymptote,lapseRate,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,36.188834399999905,,0.004783300002600299,36.173357899999246,36.17410000000018,41.17281080000248,41.17282350000096,41.20570829999997,48.67245870000261,48.67245870000261,51.40587149999919,51.6725480999994,51.6725480999994,51.65640600000188,3.59,4.46,434,446,7.5,3.5,1.2,0.75,0,456,1,n,2.4130052000000433,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
1,0,1,0,51.6725480999994,,,,51.661457000001974,56.65656260000105,56.656574399999954,56.68931900000098,64.17284260000088,64.17284260000088,66.88956900000267,67.18957720000253,67.18957720000253,67.15676240000175,3.86,4.19,461,419,7.5,3.5,1.2,0.75,1,456,1,n,2.1521749999992608,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
2,0,2,0,67.18957720000253,,,,67.16295330000139,72.17308160000175,72.17309260000184,72.20637250000073,79.6732050999999,79.6732050999999,82.40660109999953,82.67327769999974,82.67327769999974,82.6571294000023,3.69,4.36,444,436,7.5,3.5,1.2,0.75,2,454,1,n,2.2720818999987387,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
3,0,3,0,82.67327769999974,,,,82.66314469999998,87.65724330000012,87.65725530000054,87.69019240000125,95.17355060000045,95.17355060000045,97.89030190000267,98.17362400000275,98.17362400000275,98.15752490000159,4.05,4.0,480,400,7.5,3.5,1.2,0.75,3,453,0,m,2.0595883000023605,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
4,0,4,0,98.17362400000275,,,,98.16268290000153,103.15761019999991,103.15762190000169,103.19043750000128,110.67391739999948,110.67391739999948,113.3906461000006,113.67398470000262,113.67398470000262,113.65790870000274,3.52,4.53,427,453,7.5,3.5,1.2,0.75,0,457,1,n,1.61089599999832,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
5,0,5,0,113.67398470000262,,,,113.66306840000107,118.65796469999987,118.65797609999936,118.69080840000242,126.1743005999997,126.1743005999997,128.8910300000025,129.1743733000003,129.1743733000003,129.15827130000253,3.72,4.33,447,433,7.5,3.5,1.2,0.75,1,456,1,n,2.054316599998856,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
6,0,6,0,129.1743733000003,,,,129.16346120000162,134.15829590000067,134.15830740000092,134.19116740000027,141.6746650999994,141.6746650999994,144.3913762000011,144.67473860000246,144.67473860000246,144.65861810000206,3.82,4.23,457,423,7.5,3.5,1.2,0.75,2,455,0,m,1.701617200000328,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
7,0,7,0,144.67473860000246,,,,144.66460189999998,149.6586755999997,149.65868690000207,149.69152810000014,157.17503130000114,157.17503130000114,159.8917294999992,160.17508090000047,160.17508090000047,160.1589892000011,3.5,4.55,425,455,7.5,3.5,1.2,0.75,3,458,1,n,2.2896626999972796,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
8,0,8,0,160.17508090000047,,,,160.1631210000014,165.15902370000185,165.15903529999923,165.19189750000078,172.67539680000118,172.67539680000118,175.3920930000022,175.67544900000212,175.67544900000212,175.6593286999996,3.99,4.06,474,405,7.5,3.5,1.2,0.75,0,457,1,n,1.8892909000023792,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
9,0,9,0,175.67544900000212,,,,175.6653339000004,180.65938350000215,180.65939470000012,180.6922603000021,188.1757617000003,188.1757617000003,190.8924678000003,191.17581930000233,191.17581930000233,191.15980750000017,3.5,4.55,425,455,7.5,3.5,1.2,0.75,1,457,0,m,1.3486516000011761,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
10,0,10,0,191.17581930000233,,,,191.16496000000188,196.15984310000204,196.1598546999994,196.19262739999976,203.67612440000084,203.67612440000084,206.39283910000086,206.67620380000153,206.67620380000153,206.6601131999996,4.08,3.97,483,397,7.5,3.5,1.2,0.75,2,459,0,m,1.7008157999989635,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
11,0,11,0,206.67620380000153,,,,206.66529550000269,211.6601386000002,211.66014970000106,211.69295899999997,219.17648090000148,219.17648090000148,221.89318690000073,222.17656429999988,222.17656429999988,222.16042150000067,3.97,4.08,472,408,7.5,3.5,1.2,0.75,3,462,1,n,1.2045557999990706,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
12,0,12,0,222.17656429999988,,,,222.16563840000163,227.16063450000001,227.1606462000018,227.19334530000197,234.67686220000178,234.67686220000178,237.39357430000018,237.6769333000011,237.6769333000011,237.66079399999944,4.12,3.93,487,393,7.5,3.5,1.2,0.75,0,462,1,n,0.7594322000004468,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
13,0,13,0,237.6769333000011,,,,237.6661058000027,242.66087130000233,242.6608828999997,242.71048940000037,250.17723050000131,250.17723050000131,252.9106294000012,253.17730140000276,253.17730140000276,253.1611578000011,4.18,3.87,493,387,7.5,3.5,1.2,0.75,1,461,1,n,1.2072636000011698,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
14,0,14,0,253.17730140000276,,,,253.1671423000007,258.16123460000017,258.16124630000195,258.19409280000036,265.6775942999993,265.6775942999993,268.3943223000024,268.6776634000016,268.6776634000016,268.66154930000266,3.49,4.56,424,455,7.5,3.5,1.2,0.75,2,461,1,n,1.090394999999262,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
15,0,15,0,268.6776634000016,,,,268.66672610000023,273.6615926000013,273.66160429999945,273.6944416000006,281.1779473000024,281.1779473000024,283.89469140000074,284.1780189000019,284.1780189000019,284.1619341000005,4.05,4.0,480,400,7.5,3.5,1.2,0.75,3,460,0,m,1.2545027999985905,None,,,,,,,,,sub-003,COM3,44.6,2024-01-23_16h27.49.039,2024_RDpaindiscrimination_QUEST,2023.2.3,60.055767785006424,2024-01-23 16h28.03.563596 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.16765719999967,284.1780189000019,290.17818160000024,290.16198870000153,46.11786696234007,7.327282607718737,0.5,0.025201806986414832,,,,,,,,,
