,times,neutral,z1,z2,z3,z4,z5
0,0.11760687828063965,37.8,37.6,37.6,37.6,37.6,37.6
1,0.22923707962036133,37.8,37.6,37.6,37.6,37.6,37.6
2,0.3418607711791992,37.8,37.7,37.7,37.7,37.7,37.7
3,0.45299243927001953,37.8,38.2,38.2,38.2,38.1,38.2
4,0.5656156539916992,37.8,39.1,39.0,39.0,39.0,39.1
5,0.6782429218292236,37.8,39.9,39.8,39.8,39.8,40.0
6,0.7898695468902588,37.8,40.6,40.6,40.5,40.6,40.7
7,0.9024932384490967,37.7,41.4,41.3,41.3,41.4,41.6
8,1.014120101928711,37.7,42.2,42.1,42.1,42.1,42.4
9,1.1257469654083252,37.7,42.7,42.6,42.6,42.6,42.8
10,1.2383701801300049,37.7,42.6,42.6,42.6,42.6,42.8
11,1.3495285511016846,37.7,42.6,42.5,42.5,42.5,42.7
12,1.462155818939209,37.6,42.6,42.6,42.6,42.6,42.8
13,1.574110984802246,37.6,42.6,42.6,42.6,42.6,42.8
14,1.6867339611053467,37.6,42.6,42.6,42.6,42.6,42.7
15,1.7983605861663818,37.6,42.6,42.6,42.6,42.6,42.8
16,1.9099881649017334,37.6,42.6,42.6,42.6,42.6,42.8
17,2.022610664367676,37.6,42.6,42.6,42.6,42.6,42.8
18,2.1342339515686035,37.6,42.6,42.6,42.6,42.6,42.8
19,2.246857166290283,37.7,42.6,42.6,42.6,42.6,42.8
20,2.358488082885742,37.7,42.6,42.6,42.6,42.6,42.8
21,2.471111297607422,37.7,42.7,42.6,42.6,42.6,42.8
22,2.5827343463897705,37.7,42.7,42.6,42.6,42.6,42.8
23,2.6943650245666504,37.7,42.7,42.6,42.6,42.6,42.8
24,2.80698823928833,37.7,42.7,42.6,42.6,42.6,42.8
25,2.9186153411865234,37.7,42.7,42.6,42.6,42.6,42.8
26,3.0312387943267822,37.7,42.7,42.6,42.6,42.6,42.8
27,3.1428654193878174,37.7,42.7,42.6,42.6,42.6,42.8
28,3.2550048828125,37.7,42.7,42.6,42.6,42.6,42.8
29,3.3666317462921143,37.7,42.7,42.6,42.6,42.6,42.8
30,3.4788894653320312,37.7,42.7,42.6,42.6,42.6,42.8
31,3.591513156890869,37.7,42.7,42.6,42.6,42.6,42.8
32,3.7031397819519043,37.7,42.7,42.6,42.6,42.6,42.8
33,3.8157598972320557,37.7,42.7,42.6,42.6,42.6,42.8
34,3.9273898601531982,37.7,42.7,42.6,42.6,42.6,42.8
35,4.0390167236328125,37.7,42.7,42.7,42.6,42.6,42.8
36,4.15164041519165,37.7,42.7,42.7,42.6,42.6,42.8
37,4.2632668018341064,37.7,42.7,42.7,42.6,42.6,42.8
38,4.375886678695679,37.7,42.7,42.7,42.6,42.6,42.8
39,4.4875171184539795,37.7,42.7,42.7,42.6,42.6,42.8
40,4.600136756896973,37.7,42.7,42.7,42.6,42.6,42.8
41,4.711766719818115,37.7,42.7,42.7,42.6,42.6,42.8
42,4.823394775390625,37.7,42.7,42.7,42.6,42.6,42.8
43,4.936017751693726,37.7,42.7,42.7,42.6,42.6,42.8
44,5.047644376754761,37.7,42.7,42.7,42.6,42.6,42.8
45,5.1602678298950195,37.7,42.7,42.7,42.6,42.6,42.8
46,5.271894693374634,37.7,42.7,42.7,42.6,42.6,42.8
47,5.384514093399048,37.7,42.7,42.7,42.6,42.6,42.8
48,5.495662689208984,37.7,42.7,42.7,42.6,42.7,42.8
49,5.608285903930664,37.7,42.8,42.8,42.8,42.8,42.9
50,5.719913005828857,37.7,43.5,43.4,43.4,43.4,43.6
51,5.832083225250244,37.7,43.9,43.8,43.8,43.8,44.0
52,5.944706439971924,37.7,43.7,43.7,43.7,43.7,43.8
53,6.056629419326782,37.7,43.6,43.6,43.6,43.6,43.7
54,6.168256521224976,37.7,43.8,43.7,43.7,43.7,43.9
55,6.280879735946655,37.7,43.7,43.7,43.7,43.7,43.8
56,6.3925065994262695,37.7,43.7,43.6,43.6,43.7,43.7
57,6.505130052566528,37.7,43.7,43.7,43.7,43.7,43.8
58,6.616753101348877,37.7,43.7,43.7,43.7,43.7,43.8
59,6.728383541107178,37.7,43.5,43.5,43.5,43.5,43.5
60,6.841007232666016,37.7,42.9,42.9,42.9,42.9,42.9
61,6.952633857727051,37.8,42.6,42.6,42.6,42.6,42.6
62,7.06525731086731,37.8,42.7,42.7,42.7,42.7,42.8
63,7.176884174346924,37.8,42.8,42.8,42.7,42.8,42.9
64,7.289507627487183,37.8,42.7,42.7,42.7,42.7,42.7
65,7.401129961013794,37.8,42.7,42.7,42.7,42.7,42.7
66,7.512761116027832,37.8,42.7,42.7,42.7,42.7,42.8
67,7.625384569168091,37.8,42.7,42.7,42.7,42.7,42.8
68,7.737011671066284,37.8,42.7,42.7,42.7,42.7,42.7
69,7.849631071090698,37.8,42.7,42.7,42.7,42.7,42.8
70,7.961261749267578,37.8,42.7,42.7,42.7,42.7,42.8
71,8.073402643203735,37.8,42.7,42.7,42.7,42.7,42.7
72,8.185029983520508,37.8,42.7,42.7,42.7,42.7,42.8
73,8.297191381454468,37.8,42.7,42.7,42.7,42.7,42.8
74,8.409814834594727,37.8,42.7,42.7,42.7,42.7,42.8
75,8.520793676376343,37.8,42.7,42.7,42.7,42.7,42.7
76,8.633412837982178,37.8,42.7,42.7,42.7,42.7,42.8
77,8.746040344238281,37.8,42.7,42.7,42.7,42.7,42.8
78,8.85766339302063,37.8,42.7,42.7,42.7,42.7,42.8
79,8.970290899276733,37.8,42.7,42.7,42.7,42.7,42.8
80,9.08191728591919,37.8,42.7,42.7,42.7,42.7,42.8
81,9.193544149398804,37.8,42.7,42.7,42.7,42.7,42.8
82,9.306167602539062,37.8,42.7,42.7,42.7,42.7,42.8
